11BIT,20170920,193.90,194.15,191.00,191.15,7748
4FUNMEDIA,20170920,8.17,8.49,8.17,8.47,11879
AATHOLD,20170920,19.45,19.45,19.45,19.45,2
ABCDATA,20170920,1.89,1.91,1.82,1.85,274129
ABMSOLID,20170920,11.99,11.99,11.21,11.99,116
ABPL,20170920,27.31,27.31,27.00,27.02,585
ACAUTOGAZ,20170920,41.50,41.74,40.60,41.25,675
ACTION,20170920,5.02,5.05,4.91,4.95,30275
ADIUVO,20170920,15.99,15.99,15.00,15.00,1059
AGORA,20170920,17.50,17.52,17.00,17.20,17329
AGROTON,20170920,5.74,5.74,4.88,5.11,209639
AILLERON,20170920,17.85,17.85,17.45,17.45,2483
AIRWAY,20170920,1.08,1.08,1.01,1.03,132083
ALCHEMIA,20170920,5.04,5.04,4.98,5.04,10804
ALIOR,20170920,65.70,65.99,64.09,65.11,602362
ALMA,20170920,0.73,0.79,0.73,0.77,163965
ALTA,20170920,3.05,3.05,3.05,3.05,2
ALTUSTFI,20170920,16.00,16.00,15.85,15.88,727
ALUMETAL,20170920,49.90,50.00,49.79,49.90,15199
AMBRA,20170920,11.41,11.42,11.03,11.03,3452
AMICA,20170920,159.40,159.40,156.55,156.60,3350
AMREST,20170920,360.00,366.80,360.00,365.25,5281
APATOR,20170920,30.41,30.70,30.24,30.69,2887
APLISENS,20170920,11.28,11.28,11.28,11.28,2
ARCHICOM,20170920,15.00,15.00,14.75,14.95,15864
ARCTIC,20170920,4.81,4.82,4.69,4.73,15256
ARCUS,20170920,1.37,1.37,1.30,1.30,1937
ARKASWE17,20170920,115.30,115.30,115.30,115.30,1
ARTERIA,20170920,8.08,8.18,8.08,8.18,2135
ARTIFEX,20170920,10.20,10.20,9.20,9.47,20078
ASBIS,20170920,2.36,2.40,2.32,2.34,44663
ASMGROUP,20170920,4.50,4.50,4.50,4.50,325
ASSECOBS,20170920,27.20,27.20,27.20,27.20,99
ASSECOPOL,20170920,47.20,47.55,47.18,47.49,57780
ASTARTA,20170920,55.10,55.29,52.63,54.91,3418
ATAL,20170920,43.85,43.90,42.10,43.90,3332
ATENDE,20170920,5.09,5.09,4.82,4.95,2984
ATLANTAPL,20170920,4.65,4.65,4.65,4.65,1930
ATLANTIS,20170920,0.68,0.70,0.67,0.69,11975
ATLASEST,20170920,1.04,1.14,1.04,1.14,15600
ATM,20170920,11.03,11.03,11.01,11.03,4203
ATMGRUPA,20170920,4.12,4.12,3.91,4.02,10215
ATREM,20170920,2.85,2.85,2.81,2.81,543
AUTOPARTN,20170920,5.27,5.32,5.11,5.21,243761
AVIAAML,20170920,5.06,5.06,4.96,4.96,1417
AVIASG,20170920,17.86,17.86,17.86,17.86,68
AWBUD,20170920,6.56,6.56,6.54,6.54,1557
BALTONA,20170920,2.54,2.54,2.33,2.49,27163
BBIDEV,20170920,0.83,0.84,0.82,0.82,45650
BEDZIN,20170920,23.60,23.60,23.57,23.57,10
BENEFIT,20170920,998.00,1000.00,976.50,976.50,735
BETACOM,20170920,11.74,11.74,11.40,11.40,1849
BGZBNPP,20170920,66.88,66.88,66.88,66.88,1
BIK,20170920,17.44,17.44,17.01,17.11,452
BIOMEDLUB,20170920,1.03,1.16,1.03,1.14,407452
BIOTON,20170920,4.70,4.73,4.68,4.68,14477
BOGDANKA,20170920,77.98,78.40,77.98,78.06,13027
BORYSZEW,20170920,9.98,9.98,9.80,9.92,1072897
BOS,20170920,10.03,10.20,9.65,10.20,46333
BOWIM,20170920,3.82,3.85,3.77,3.85,1566
BRASTER,20170920,12.40,12.55,12.33,12.38,3862
BRIJU,20170920,6.70,6.82,6.70,6.82,4890
BSCDRUK,20170920,33.88,34.52,33.88,34.52,110
BUDIMEX,20170920,216.85,219.75,215.00,218.35,2532
BUMECH,20170920,0.94,0.94,0.91,0.93,337784
BYTOM,20170920,2.80,2.87,2.78,2.82,97782
BZWBK,20170920,360.40,360.75,355.05,357.00,24404
CAPITAL,20170920,3.24,3.25,3.15,3.15,23572
CCC,20170920,287.50,289.45,285.05,287.95,30434
CDPROJEKT,20170920,109.00,115.50,108.80,113.90,524797
CDRL,20170920,25.80,25.80,24.51,25.00,1755
CELTIC,20170920,6.15,7.00,6.15,7.00,7615
CEZ,20170920,71.20,71.32,70.76,70.88,1526
CFI,20170920,0.67,0.67,0.65,0.67,216489
CHEMOS,20170920,1.15,1.16,1.13,1.13,250338
CIECH,20170920,67.25,67.25,65.30,65.60,54742
CIGAMES,20170920,1.13,1.14,1.09,1.10,1462095
CITYSERV,20170920,9.85,9.92,9.85,9.92,2960
CLNPHARMA,20170920,36.48,36.59,35.73,36.40,6626
CNT,20170920,7.28,7.30,7.20,7.20,169
COALENERG,20170920,0.81,0.81,0.77,0.77,3961
COGNOR,20170920,1.46,1.46,1.42,1.44,13838
COLIAN,20170920,3.20,3.20,3.15,3.15,9324
COMARCH,20170920,166.60,167.50,166.10,167.00,6698
CORMAY,20170920,2.21,2.32,2.09,2.10,532524
CPGROUP,20170920,5.98,6.05,5.87,6.00,6336
CUBEITG,20170920,1.54,1.54,1.40,1.43,183691
CYFRPLSAT,20170920,25.75,25.98,25.60,25.98,209313
CZTOREBKA,20170920,0.65,0.69,0.65,0.65,8219
DBSTXE1019,20170920,109.30,109.30,109.20,109.20,1670
DEBICA,20170920,103.90,103.90,102.55,103.40,533
DECORA,20170920,10.82,10.82,10.15,10.15,3909
DEKPOL,20170920,28.48,28.48,28.48,28.48,3
DELKO,20170920,10.25,10.25,10.25,10.25,43
DGA,20170920,4.50,4.50,4.50,4.50,1
DINOPL,20170920,62.80,63.83,62.50,63.80,331478
DOMDEV,20170920,89.28,89.28,87.50,87.97,2481
DREWEX,20170920,1.21,1.21,1.16,1.16,1387
DROZAPOL,20170920,2.00,2.02,2.00,2.02,1879
ECHO,20170920,5.39,5.42,5.39,5.40,24878
EDINVEST,20170920,1.79,1.79,1.79,1.79,2
EFEKT,20170920,24.93,25.25,24.93,25.25,202
EKOEXPORT,20170920,12.20,12.20,11.89,11.90,9189
ELBUDOWA,20170920,103.25,103.30,102.10,102.10,113
ELEKTROTI,20170920,11.48,11.65,10.53,10.80,4189
ELEMENTAL,20170920,2.45,2.46,2.41,2.42,31452
ELKOP,20170920,0.65,0.66,0.62,0.63,141435
ELZAB,20170920,12.19,12.72,12.19,12.69,9222
EMCINSMED,20170920,9.97,9.97,9.97,9.97,1
EMPERIA,20170920,91.00,91.79,88.10,90.00,2065
ENAP,20170920,1.06,1.06,1.05,1.06,13043
ENEA,20170920,14.92,14.96,14.71,14.83,488727
ENELMED,20170920,11.46,11.98,11.46,11.98,10
ENERGA,20170920,13.57,13.77,13.55,13.77,749980
ENERGOINS,20170920,1.41,1.41,1.37,1.41,8950
ENTER,20170920,27.00,27.00,27.00,27.00,46
ERBUD,20170920,26.79,26.80,26.36,26.36,736
ERG,20170920,61.99,62.00,60.70,62.00,319
ERGIS,20170920,5.95,5.95,5.89,5.89,4912
ESOTIQ,20170920,14.20,14.50,13.50,14.20,3919
ESSYSTEM,20170920,3.00,3.00,3.00,3.00,1
ETFDAX,20170920,513.74,514.68,513.00,513.00,273
ETFSP500,20170920,91.53,91.60,90.71,91.50,211
ETFW20L,20170920,299.40,299.40,295.50,296.00,667
EUCO,20170920,18.40,18.40,17.87,18.00,2556
EUROCASH,20170920,38.17,38.35,37.03,37.62,293712
EUROTEL,20170920,20.70,20.70,20.56,20.69,468
EVEREST,20170920,0.84,0.84,0.84,0.84,429
FAM,20170920,3.78,3.95,3.78,3.95,6143
FAMUR,20170920,6.23,6.40,6.22,6.37,231523
FASING,20170920,17.75,17.76,17.50,17.60,1050
FASTFIN,20170920,1.64,1.65,1.64,1.65,2830
FEERUM,20170920,14.19,15.50,14.00,14.35,224
FERRO,20170920,15.70,15.85,15.64,15.80,1951
FERRUM,20170920,4.49,4.49,4.49,4.49,10
FON,20170920,0.27,0.27,0.25,0.26,68293
FORTE,20170920,70.51,71.00,69.81,71.00,2288
FOTA,20170920,0.28,0.28,0.27,0.28,287843
GEKOPLAST,20170920,15.59,15.59,15.30,15.30,2
GETBACK,20170920,26.00,26.00,25.00,26.00,109164
GETBACK-PDA,20170920,25.31,25.40,24.01,25.00,175383
GETIN,20170920,1.68,1.74,1.68,1.73,417861
GETINOBLE,20170920,1.25,1.28,1.22,1.28,3048224
GINOROSSI,20170920,1.63,1.69,1.48,1.61,29047
GLCOSMED,20170920,2.95,2.95,2.82,2.95,691
GOBARTO,20170920,8.25,8.70,8.25,8.50,7844
GORENJE,20170920,26.44,26.44,26.44,26.44,2
GPRE,20170920,4.65,4.65,4.59,4.60,69913
GPW,20170920,45.62,45.62,45.04,45.50,11409
GRAVITON,20170920,0.90,0.90,0.90,0.90,2
GROCLIN,20170920,8.40,8.48,7.78,7.80,102363
GRODNO,20170920,11.50,11.50,11.30,11.50,51
GRUPAAZOTY,20170920,69.21,71.59,69.21,71.40,214022
GTC,20170920,9.62,9.68,9.50,9.50,10104
HANDLOWY,20170920,68.40,68.50,68.01,68.46,30024
HARPER,20170920,1.00,1.00,0.96,0.96,3194
HELIO,20170920,12.85,12.88,12.85,12.88,1267
HERKULES,20170920,3.92,3.98,3.89,3.90,20742
HUBSTYLE,20170920,0.94,0.94,0.86,0.89,28997
HYDROTOR,20170920,39.40,39.40,39.40,39.40,3
HYPERION,20170920,0.39,0.40,0.35,0.35,630380
IDEABANK,20170920,25.99,25.99,25.60,25.90,486
IFCAPITAL,20170920,0.64,0.65,0.63,0.65,10164
IFIRMA,20170920,3.76,3.79,3.62,3.70,6268
IFSA,20170920,0.58,0.58,0.58,0.58,3400
IMCOMPANY,20170920,10.66,10.66,10.51,10.66,4069
IMMOBILE,20170920,3.77,3.77,3.66,3.70,12507
IMPEL,20170920,24.00,24.00,23.62,23.80,340
IMPERA,20170920,1.52,1.52,1.52,1.52,4
IMPEXMET,20170920,4.43,4.50,4.43,4.47,1971934
IMS,20170920,3.57,3.60,3.54,3.58,2750
INC,20170920,1.84,1.84,1.84,1.84,198
INDATA,20170920,0.41,0.42,0.40,0.41,115711
INDYKPOL,20170920,63.10,63.10,63.00,63.00,350
INGBSK,20170920,208.00,209.70,206.70,208.00,21211
INPRO,20170920,4.30,4.40,4.30,4.40,1298
INSTALKRK,20170920,14.21,14.50,14.19,14.50,1257
INTERAOLT,20170920,11.75,11.97,11.61,11.66,1358
INTERCARS,20170920,292.95,292.95,289.55,289.55,93
INTERSPPL,20170920,2.28,2.28,2.22,2.28,58147
INTLADS13987,20170920,40.43,40.43,40.43,40.43,15
INTLADS17350,20170920,26.71,26.76,26.71,26.76,39
INTLBCO12559,20170920,73.85,73.85,73.85,73.85,220
INTLBCO13243,20170920,57.10,57.10,57.10,57.10,9
INTLBND14357,20170920,21.11,22.47,21.11,22.47,1053
INTLDAX17178,20170920,61.65,61.65,61.65,61.65,65
INTLEUD16493,20170920,61.85,61.85,61.85,61.85,1123
INTLEUD19539,20170920,18.79,19.19,18.79,19.19,679
INTLGBU18549,20170920,40.73,40.73,40.73,40.73,200
INTLGLD18317,20170920,53.90,55.00,53.10,53.10,1153
INTLGLD19604,20170920,38.37,38.56,37.59,37.59,1731
INTLKGH19372,20170920,18.50,18.50,18.50,18.50,1
INTLKGH19554,20170920,13.33,13.33,11.97,11.97,175
INTLNAG19026,20170920,2.34,2.34,2.34,2.34,175
INTLPEO12419,20170920,29.01,29.01,29.01,29.01,60
INTLPEO16402,20170920,39.49,39.49,39.49,39.49,170
INTLPGE16725,20170920,5.67,5.67,5.67,5.67,1500
INTLPGE19174,20170920,2.50,2.50,2.50,2.50,1000
INTLPGE19406,20170920,1.80,1.80,1.80,1.80,2500
INTLPGN18028,20170920,1.58,1.58,1.58,1.58,3000
INTLPKN18929,20170920,30.11,30.11,30.11,30.11,34
INTLPKO17541,20170920,7.20,7.20,7.05,7.05,2000
INTLPKO18812,20170920,4.59,4.59,4.59,4.59,250
INTLPZU18564,20170920,12.21,12.21,12.21,12.21,100
INTLPZU18796,20170920,8.88,8.88,8.42,8.42,1250
INTLPZU18903,20170920,7.17,7.17,6.41,6.41,1707
INTLSLV12955,20170920,11.42,11.65,11.42,11.45,1800
INTLUSD03731,20170920,16.80,16.80,16.80,16.80,5
INTLUSD05041,20170920,27.15,27.15,26.50,26.50,1300
INTLUSD05611,20170920,11.21,11.21,11.21,11.21,90
INTLVOW17137,20170920,11.01,11.01,11.01,11.01,360
INTLW2018937,20170920,2.95,2.95,2.94,2.94,1200
INTLW2019232,20170920,2.72,2.72,2.72,2.72,1500
INTLW2019513,20170920,1.90,1.90,1.80,1.80,5280
INTLW2019521,20170920,2.24,2.24,2.14,2.14,1950
INTLW2019562,20170920,1.42,1.42,1.23,1.25,6201
INTROL,20170920,6.70,6.70,6.70,6.70,57
INTSBCO11676,20170920,23.61,23.61,21.32,22.43,2436
INTSBND15693,20170920,20.67,20.67,19.63,19.63,80
INTSDAX08193,20170920,35.30,35.30,35.30,35.30,30
INTSDAX18424,20170920,70.00,70.00,70.00,70.00,2000
INTSDOW19042,20170920,83.85,83.85,83.85,83.85,20
INTSESX08474,20170920,11.49,11.49,11.49,11.49,100
INTSEUD03764,20170920,54.00,54.00,54.00,54.00,2000
INTSEUD06080,20170920,19.19,19.19,19.19,19.19,30
INTSGLD00638,20170920,38.66,38.84,37.55,38.84,711
INTSKGH00711,20170920,30.42,30.82,30.42,30.82,200
INTSNDX19059,20170920,17.00,17.00,16.94,16.94,5900
INTSNKX08482,20170920,68.10,68.10,68.10,68.10,15
INTSOPL11650,20170920,1.80,1.80,1.80,1.80,263
INTSPEO18051,20170920,25.45,25.45,25.00,25.00,110
INTSPGN09431,20170920,1.06,1.06,1.06,1.06,1000
INTSSLV15925,20170920,8.14,8.14,8.14,8.14,260
INTSUSD18887,20170920,34.26,34.26,34.26,34.26,7
INTSUSD19158,20170920,28.37,28.37,28.37,28.37,10
INTSUSD19455,20170920,17.59,17.59,17.59,17.59,20
INTSUSJ17509,20170920,22.40,22.40,22.40,22.40,18
INTSUSJ19349,20170920,15.27,15.27,14.56,14.56,846
INTSW2003194,20170920,1.42,1.72,1.42,1.71,12475
INTSW2005884,20170920,2.00,2.31,2.00,2.31,2608
INVFIZ,20170920,912.00,912.00,912.00,912.00,4
INVISTA,20170920,1.30,1.36,1.26,1.34,4900
IPOPEMA,20170920,1.50,1.50,1.50,1.50,68
IQP,20170920,0.25,0.25,0.25,0.25,2620
IZOBLOK,20170920,119.90,120.70,119.90,120.70,26
IZOLACJA,20170920,2.05,2.05,2.05,2.05,1950
JHMDEV,20170920,1.68,1.78,1.68,1.78,9759
JSW,20170920,99.10,102.35,99.10,102.00,432922
JWCONSTR,20170920,4.53,4.68,4.53,4.67,2192
JWWINVEST,20170920,2.35,2.36,2.35,2.36,300
K2INTERNT,20170920,15.69,15.69,15.22,15.65,685
KANIA,20170920,1.53,1.53,1.50,1.53,33553
KBDOM,20170920,2.58,2.58,2.58,2.58,1
KCI,20170920,0.99,0.99,0.95,0.96,46926
KERNEL,20170920,58.10,58.57,56.60,57.00,123869
KETY,20170920,400.00,404.95,400.00,400.05,1582
KGHM,20170920,121.00,121.55,119.30,120.25,292379
KGL,20170920,24.79,24.79,24.79,24.79,1
KINOPOL,20170920,10.98,10.98,10.71,10.90,765
KOGENERA,20170920,79.00,82.99,79.00,79.83,323
KOMPUTRON,20170920,5.85,5.85,5.77,5.80,24044
KONSSTALI,20170920,31.00,31.00,29.41,29.41,52
KOPEX,20170920,3.92,3.98,3.87,3.98,7477
KRAKCHEM,20170920,2.39,2.39,2.26,2.26,3114
KREC,20170920,6.69,6.69,6.43,6.60,961
KREDYTIN,20170920,24.22,24.22,24.00,24.20,790
KREZUS,20170920,0.87,0.95,0.85,0.94,291886
KRKA,20170920,239.10,239.10,239.10,239.10,100
KRUK,20170920,301.50,304.30,301.05,303.20,53047
KRVITAMIN,20170920,4.95,4.95,4.65,4.65,2541
KSGAGRO,20170920,2.30,2.30,2.15,2.25,68569
LABOPRINT,20170920,10.40,10.40,10.11,10.11,500
LARK,20170920,0.40,0.42,0.40,0.40,35520
LARQ,20170920,16.80,17.10,15.44,17.00,6268
LCCORP,20170920,2.72,2.75,2.66,2.70,5962044
LENA,20170920,3.98,3.99,3.96,3.99,7764
LENTEX,20170920,8.47,8.78,8.47,8.73,13647
LIBET,20170920,1.78,1.84,1.78,1.84,21154
LIVECHAT,20170920,48.50,48.50,48.00,48.15,4489
LOKUM,20170920,16.30,16.30,15.99,16.30,106
LOTOS,20170920,59.85,60.10,59.30,60.00,183893
LPP,20170920,8799.95,8880.00,8635.65,8770.70,1748
LSISOFT,20170920,11.58,11.99,11.58,11.64,9277
LUBAWA,20170920,0.95,0.97,0.95,0.96,105903
MABION,20170920,99.00,100.45,98.69,100.00,11162
MAKARONPL,20170920,5.92,5.95,5.92,5.95,370
MANGATA,20170920,101.00,101.00,99.10,99.10,62
MARVIPOL,20170920,13.12,13.18,12.99,13.00,10736
MASTERPHA,20170920,5.59,5.59,5.09,5.39,9952
MAXCOM,20170920,53.39,53.50,52.51,53.45,851
MBANK,20170920,432.00,432.00,422.00,428.95,11531
MBWS,20170920,68.75,68.75,67.20,67.20,15
MCI,20170920,8.62,8.64,8.58,8.62,4625
MDIENERGIA,20170920,4.40,4.40,4.30,4.40,1255
MEDIACAP,20170920,2.32,2.32,2.30,2.30,60
MEDICALG,20170920,247.00,247.00,240.50,243.80,3831
MENNICA,20170920,17.20,17.75,17.20,17.64,707
MERCATOR,20170920,17.69,17.69,16.85,16.85,3486
MERCOR,20170920,9.60,9.74,9.60,9.62,991
MEXPOLSKA,20170920,4.14,4.24,3.95,3.95,39096
MFO,20170920,31.53,31.53,31.01,31.50,1688
MILKILAND,20170920,1.65,1.76,1.65,1.71,12641
MILLENNIUM,20170920,6.75,6.77,6.61,6.66,275989
MIRACULUM,20170920,1.85,1.85,1.85,1.85,420
MIRBUD,20170920,1.23,1.24,1.22,1.23,43139
MOL,20170920,339.65,340.00,339.65,340.00,85
MONNARI,20170920,9.04,9.07,9.00,9.06,54581
MORIZON,20170920,1.25,1.28,1.17,1.28,25149
MOSTALPLC,20170920,11.80,12.00,11.67,11.67,124
MOSTALWAR,20170920,10.48,10.68,10.42,10.60,14280
MOSTALZAB,20170920,0.91,0.92,0.90,0.91,41071
MWTRADE,20170920,6.86,6.95,6.86,6.95,99
NETIA,20170920,3.85,3.85,3.80,3.80,11214
NEUCA,20170920,264.10,268.00,264.00,268.00,638
NEWAG,20170920,15.40,15.40,15.15,15.15,5787
NORTCOAST,20170920,7.91,7.91,7.88,7.88,957
NOVITA,20170920,48.40,49.99,48.40,48.50,942
NOWAGALA,20170920,2.01,2.08,2.01,2.08,11
NTTSYSTEM,20170920,2.10,2.10,2.06,2.06,1303
ODLEWNIE,20170920,3.43,3.43,3.39,3.39,826
OPENFIN,20170920,1.91,1.91,1.90,1.90,20
OPONEO.PL,20170920,47.20,47.25,47.20,47.23,392
OPTEAM,20170920,4.99,5.30,4.92,5.30,1946
ORANGEPL,20170920,5.33,5.39,5.33,5.36,2001262
ORBIS,20170920,84.48,84.49,83.00,84.00,3732
ORION,20170920,63.00,63.00,62.99,62.99,2
ORZBIALY,20170920,12.40,12.40,12.09,12.35,2091
OTLOG,20170920,21.70,21.70,21.10,21.70,58
OTMUCHOW,20170920,4.05,4.06,3.92,4.06,823
PAGED,20170920,58.45,58.45,58.40,58.45,136
PAMAPOL,20170920,1.03,1.05,1.03,1.05,161
PANOVA,20170920,24.98,25.35,24.98,24.99,1147
PBG,20170920,0.33,0.35,0.32,0.33,12846240
